token_id,extracted_attributes
2506,"{""Fur"": ""Black"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Scream"", ""Eyes"": ""Closed Scar"", ""Head"": ""Bowler""}"
8243,"{""Fur"": ""Pink"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Kiss"", ""Eyes"": ""Wide Scar""}"
645,"{""Fur"": ""Brown"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Wide"", ""Head"": ""Purple Bandana""}"
9698,"{""Fur"": ""Grey"", ""Mouth"": ""Kiss"", ""Eyes"": ""Wide Scar"", ""Head Accessory"": ""Gold Stud"", ""Head"": ""Horse Jockey Hat""}"
3405,"{""Fur"": ""Grey"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Regular"", ""Eyes"": ""Wide"", ""Head"": ""Bowler""}"
8233,"{""Fur"": ""Brown"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Drool"", ""Eyes"": ""Bloodshot"", ""Head Accessory"": ""3D Glasses"", ""Head"": ""Winter Hat""}"
2510,"{""Fur"": ""Red"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Referee"", ""Eyes"": ""Sad"", ""Head"": ""Ski Glasses""}"
25,"{""Fur"": ""Brown"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry"", ""Head"": ""Bowler""}"
8702,"{""Fur"": ""Grey"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Wink"", ""Head Accessory"": ""Red Shades"", ""Head"": ""Bowler""}"
1645,"{""Fur"": ""Aurora"", ""Clothes"": ""King Jersey"", ""Eyes"": ""Heterochromia"", ""Mouth"": ""Diamond Teeth"", ""Head"": ""Crown"", ""Jewellery"": ""Silver Chain""}"
211,"{""Fur"": ""Pink"", ""Clothes"": ""RKL Tee"", ""Mouth"": ""Ooh"", ""Eyes"": ""Sad""}"
2260,"{""Fur"": ""Green"", ""Clothes"": ""Cyan Jersey"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Scar""}"
1760,"{""Fur"": ""Red"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Closed""}"
782,"{""Fur"": ""Pink"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Closed"", ""Head"": ""Russian Cap""}"
1027,"{""Fur"": ""Red"", ""Clothes"": ""Dego Tee Blooded"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Angry Wink"", ""Head"": ""Green Beret""}"
